company_name,extracted_email,phone,address,website,art_affinity_score,art_category,country
Sarah St.Amand Interior Design | Serving Southern Ontario,"hello@stamanddesign.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.stamanddesign.com/?srsltid=AfmBOorJhJOK18v8_gEZwCIUXJxIeVnrVWbBdVfSqKT_s1oOr81SHpRN,0.0,Neutral,Canada
Studio V Interiors,"lisalvardai@gmail.com,user@domain.com",,,https://www.studiov.ca/,0.0,Neutral,Canada
studioen Interior Design | Saskatchewan | Interior Design,hello@studio-en.ca,,,https://www.studio-en.ca/,0.0,Neutral,Canada
Brigitte Lagacé: Designer Intérieur à Sherbrooke et Magog,brldesign@videotron.ca,,,https://brldesign.com/,0.0,Neutral,Canada
DÉCORATION SHERBROOKE - Interior Designers ... - BDIR.IN,"datagemba@gmail.com,mireille@decorationsherbrooke.com",,,https://bdir.in/p/best/ca/interior-designers-in-sherbrooke-qc/MzgzMDg=,0.0,Neutral,Canada
"Interior Design, Home Renovations Sudbury, Valley East, ON",nicoleanderson221@yahoo.ca,,,https://www.interiorsbynicole.ca/,0.0,Neutral,Canada
Style My Abode: Interior Stylist & Designer,"info.stylemyabode@gmail.com,example@mysite.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.stylemyabode.com/,0.0,Neutral,Canada
Oshawa Interior Designer | CMH Interiors | Carrie Hill,cmhinteriors@gmail.com,,,https://www.cmhinteriors.com/,0.0,Neutral,Canada
"Interior Design Services | AB Interiors | Oshawa, Ontario","amandabeerinteriors@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.abinteriors.ca/,0.0,Neutral,Canada
Tiffany Leigh Design | Full Service Interior Design,info@tiffanyleighdesign.com,,,https://www.tiffanyleighdesign.com/,0.0,Neutral,Canada
iSO Design & Interiors: Top Interior Designer & Home Staging ...,"YourPayPalEmail@domain.com,info@isodesign.ca,ninadoiron@istagenorganize.com",,,https://www.isodesign.ca/,0.0,Neutral,Canada
Simply Design: Interior Design Services in Barrie,"info@interiar.com,stacey@simplydesign.ca",,,https://simplydesign.ca/,0.0,Neutral,Canada
"Interior Designer near Abbotsford, BC","contactus@mbc.bbb.org,business@centraltx.bbb.org,info@fortworth.bbb.org,info@centraltx.bbb.org,aaron@mbc.bbb.org,join@mbc.bbb.org",,,https://www.bbb.org/ca/bc/abbotsford/category/interior-designer,0.0,Neutral,Canada
Inspired Designs by Maureen Fyfe: Interior Decorator,inspireddesigns@maureenfyfe.com,,,https://www.maureenfyfe.com/,0.0,Neutral,Canada
Nathalie Rioux Designer d'intérieur au Saguenay-Lac-St-Jean,nrioux.design@gmail.com,,,http://nathalieriouxdesign.com/,0.0,Neutral,Canada
"Dave Duchesne, Designer d'intérieur | Saguenay","info@daveduchesnedesigner.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.daveduchesnedesigner.com/,0.0,Neutral,Canada
Üpé Atelier | Designer intérieur d'espaces | Saguenay,info@upeatelier.ca,,,https://www.upeatelier.ca/,0.0,Neutral,Canada
Hatch Design – Kelowna's premiere interior design firm,info@hatchdesign.ca,,,https://hatchdesign.ca/,0.0,Neutral,Canada
Home Staging Kelowna | Interior Decorating | Center Stage,info@centerstagebc.com,,,https://www.centerstagebc.com/,0.0,Neutral,Canada
"Kelowna Interior Design, Decorating, Fresh Approach Designs",barbara@freshapproach.ca,,,https://freshapproach.ca/,0.0,Neutral,Canada
Interior Design Services in St.Catharines & Niagara,"caroline@carolineloondesigns.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.carolineloondesigns.com/,0.0,Neutral,Canada
Sprague Interiors - Elevated Interior Design for Life's Next ...,info@spragueinteriors.ca,,,https://www.spragueinteriors.ca/,0.0,Neutral,Canada
"Interior Decorator near Saint Catharines, ON","business@centraltx.bbb.org,info@fortworth.bbb.org,info@centraltx.bbb.org,natacha@mwco.bbb.org,info@mwco.bbb.org",,,https://www.bbb.org/ca/on/saint-catharines/category/interior-decorator,0.0,Neutral,Canada
"Main and Company Interiors in St. Catharines, ON",karen@mainandcompanyinteriors.com,,,https://mainandcompanyinteriors.com/contact-us/,0.0,Neutral,Canada
Robert Designs | Interior Design Firm Kingston,"info@robertdesigns.ca,robert@robertdesigns.ca,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.robertdesigns.ca/,0.0,Neutral,Canada
Design On Kingston - Benjamin Moore | Hunter Douglas ...,"contact@wix.com,info@designonkingston.ca,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.designonkingston.ca/,0.0,Neutral,Canada
Lisa Sandham Interior Designer – Interior Design Thunder Bay,info@lisasandham.com,,,https://lisasandham.com/,0.0,Neutral,Canada
URBANUS Interiors|Brantford|Interior Design,"design@urbanusinteriors.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.urbanusinteriors.com/,0.0,Neutral,Canada
Bidgood: Interior Design Studio,"inquiries@bidgood.co,hello@bidgood.co",,,https://www.bidgood.co/,0.0,Neutral,Canada
Interior Concept Studio | interior designer,"kaitlyn@interiorconcept.ca,info@interiorconcept.ca,patrick@interiorconcept.ca,sophie@interiorconcept.ca,emma@interiorconcept.ca,danelle@interiorconcept.ca",,,https://www.interiorconcept.ca/,0.0,Neutral,Canada
Bureau Living Interiors | interior designer moncton | Moncton ...,"sylvieallain@bureauliving.ca,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.bureauliving.ca/,0.0,Neutral,Canada
"Home | Moncton, Fredericton and Saint John Commercial ...",kimdsign@nb.sympatico.ca,,,https://kimmurphydesign.ca/,0.0,Neutral,Canada
