company_name,yellowpages_url,phone,website,address,source,target_city,search_term,extracted_email,art_affinity_score,score_details,art_category
HARRINGTON INTERIORS - Harrington Interiors Home,,,https://www.harringtoninteriors.net/,,Google,"Hamilton, ON",Interior Designers,design@harringtoninteriors.net,1.0,M:1/T:0,Modern/Abstract
"Staged For Upsell: Home Staging, Interior Re-Design ...",,,https://www.stagedforupsell.com/,,Google,"Halifax, NS",Interior Designers,joanna@stagedforupsell.com,1.0,M:1/T:0,Modern/Abstract
What is the 70/30 rule in interior design? - Group 3 Designs,,,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",,Google,"London, ON",Interior Designers,info@group3designs.net,3.0,M:3/T:0,Modern/Abstract
Mosaic Design,,,https://www.mosaicdesignstudio.ca/,,Google,"London, ON",Interior Designers,contact@mosaicdesignstudio.ca,1.0,M:1/T:0,Modern/Abstract
Jessica Davis Design - Designing and Renovating,,,https://jessicadavis.ca/,,Google,"London, ON",Interior Designers,jess@jessicadavis.ca,1.0,M:2/T:1,Modern/Abstract
Fresco Interiors Design Group Inc. l Saskatoon ...,,,https://www.frescointeriors.ca/,,Google,"Saskatoon, SK",Interior Designers,"miranda@frescointeriors.ca,8c4075d5481d476e945486754f783364@sentry.io,paula@frescointeriors.ca,charlene@frescointeriors.ca,rachel@frescointeriors.ca",2.0,M:7/T:5,Modern/Abstract
Alt Haus Interior Design,,,https://www.althaus.ca/?srsltid=AfmBOorOi38FxzefVFlpGPTnCoW5Ema9PcxSgB08YFsRb-bm8jWMKPyD,,Google,"Saskatoon, SK",Interior Designers,hello@althaus.ca,8.0,M:14/T:6,Modern/Abstract
Interior Design Saskatoon - Paradise Design YXE,,,https://paradiseyxe.com/,,Google,"Saskatoon, SK",Interior Designers,design@paradiseyxe.com,1.0,M:1/T:0,Modern/Abstract
Luxury Interior Design Company | Urbanhome Windsor,,,https://www.urbanhomeinteriordesign.com/about-urbanhome-interior-design/,,Google,"Windsor, ON",Interior Designers,"egroulx@urbanhomeinteriordesign.com,jmason@urbanhomeinteriordesign.com,bdurham@urbanhomeinteriordesign.com,info@urbanhomeinteriordesign.com,jlotz@urbanhomeinteriordesign.com",1.0,M:1/T:0,Modern/Abstract
Diane Shaink: Designer d'intérieur Sherbrooke ...,,,https://dianeshainkdesign.com/,,Google,"Sherbrooke, QC",Interior Designers,dianeshaink@gmail.com,1.0,M:1/T:0,Modern/Abstract
"Amélie Tanguay Design, 675 Boisjoli Rue, Sherbrooke, QC ...",,,https://www.mapquest.com/ca/quebec/amelie-tanguay-design-456219357,,Google,"Sherbrooke, QC",Interior Designers,help@mapquest.com,1.0,M:1/T:0,Modern/Abstract
Interior Design,,,https://thefinishedcollective.com/,,Google,"Greater Sudbury, ON",Interior Designers,lisa@thefinishedcollective.com,1.0,M:3/T:2,Modern/Abstract
"Su Casa - Full-service residential design firm, Vancouver, BC.",,,https://sucasa.ca/,,Google,"Abbotsford, BC",Interior Designers,info@sucasadesign.ca,1.0,M:2/T:1,Modern/Abstract
Intuitive Home | interior decorating,,,https://www.intuitivehomekelowna.com/,,Google,"Kelowna, BC",Interior Designers,"Brittanywasstrom@gmail.com,brittanywasstrom@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",1.0,M:1/T:0,Modern/Abstract
Residential and Commercial Interior Architectural Design in ...,,,https://www.invisiondesign.ca/,,Google,"St. Catharines, ON",Interior Designers,"info@invisiondesign.ca,8c4075d5481d476e945486754f783364@sentry.io",1.0,M:1/T:0,Modern/Abstract
Taylor Dawson Designs | Home,,,https://www.taylordawsondesigns.com/,,Google,"Kingston, ON",Interior Designers,"taylor@taylordawsondesigns.com,8c4075d5481d476e945486754f783364@sentry.io",2.0,M:2/T:0,Modern/Abstract
Stone & Associates Design - Interior & Architectural Design,,,https://stone-and-associates.com/,,Google,"Kingston, ON",Interior Designers,info@stoneandassociates.ca,3.0,M:3/T:0,Modern/Abstract
What is a Normal Budget for Interior Design in India? - Near Me Interiors,,,"https://nearmeinteriors.com/what-is-a-normal-budget-for-interior-design-in-india/#:~:text=Interior%20designers%20in%20India%20charge,ft.",,Google,"St. John's, NL",Interior Designers,info@nearmeinteriors.com,1.0,M:1/T:0,Modern/Abstract
Tolt Studio,,,https://toltstudio.com/,,Google,"St. John's, NL",Interior Designers,"hello@toltstudio.com,HELLO@TOLTSTUDIO.COM",1.0,M:1/T:0,Modern/Abstract
Alyssa Marie Designs – Interior Decorating Thunder Bay,,,https://amdesigns.co/,,Google,"Thunder Bay, ON",Interior Designers,alyssa@amdesigns.co,2.0,M:2/T:0,Modern/Abstract
Arcuo Interiors | Thunder Bay Interior Design,,,https://www.arcuointeriors.com/,,Google,"Thunder Bay, ON",Interior Designers,info@arcuointeriors.com,1.0,M:1/T:0,Modern/Abstract
Interior Design & Renovation Planning in Victoria BC,,,https://maverick-design.ca/,,Google,"Victoria, BC",Interior Designers,hello@maverick-design.ca,5.0,M:17/T:12,Modern/Abstract
Meade Design Group - Victoria,,,https://meadedesigngroup.com/,,Google,"Victoria, BC",Interior Designers,"info@meadedesigngroup.com,example@mail.com",22.0,M:31/T:9,Modern/Abstract
