company_name,yellowpages_url,phone,website,address,source,extracted_email,target_city,search_term,art_affinity_score,score_details,art_category
Annali Interiors,https://www.yellowpages.com/nashville-tn/mip/annali-interiors-2898382,(615) 352-7616,https://annaliinteriors.squarespace.com/contact,"6518 Highway 100, Nashville, TN 37205",YellowPages,"cassidyannflip@gmail.com, user@domain.com, Annaliints@aol.com, Betsy.brittian@gmail.com, Mclean.barbieri@gmail.com, Betsy.brittain@gmail.com, annaliints@aol.com, Cassidyannflip@gmail.com, Lilliasjohnston@gmail.com","Nashville, TN",Interior Decorators,0.0,M:0/T:0,Neutral
Valley Interior Products,https://www.yellowpages.com/nashville-tn/mip/valley-interior-products-12126195,(615) 259-2900,https://vipgms.com/s/content/nashville-tn-yard,"350 Hermitage Ave, Nashville, TN 37210",YellowPages,sales@vipgms.com,"Nashville, TN",Interior Decorators,0.0,M:0/T:0,Neutral
Sarah Wessel Designs,https://www.yellowpages.com/washington-dc/mip/sarah-wessel-designs-16901176,(202) 337-1910,http://sarahwesseldesigns.com,"1228 31st St NW, Washington, DC 20007",YellowPages,sarwessel@hotmail.com,"Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
Forrest Perkins,https://www.yellowpages.com/washington-dc/mip/forrest-perkins-503716263,(202) 478-8810,https://forrestperkins.com/forrestperkins-designed-the-guestroom-and-suites-in-the-historic-building-of-the-iconic-westin-st-francis-in-san-francisco,"1 Thomas Cir NW, Washington, DC 20005",YellowPages,"glee@forrestperkins.com, ewoods@forrestperkins.com, learning-dal@forrestperkins.com, l.moore@perkinseastman.com, cconner@forrestperkins.com, jbeggiato@forrestperkins.com","Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
Deco Home Design,https://www.yellowpages.com/washington-dc/mip/deco-home-design-508351692,(202) 333-4000,http://www.decohomedesign.com,"4418 Macarthur Blvd NW, Washington, DC 20007",YellowPages,"info@decohd.com, user@domain.com","Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
Perceptions Interiors,https://www.yellowpages.com/washington-dc/mip/perceptions-interiors-503139021,(202) 330-5619,http://www.perceptionsinteriors.com,"5614 Connecticut Ave NW, Washington, DC 20015",YellowPages,contact@sansoxygen.com,"Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
Bis Redesign,https://www.yellowpages.com/washington-dc/mip/bis-redesign-538429188,(202) 482-2000,https://www.bis.doc.gov,"1401 Constitution Ave NW, Washington, DC 20230",YellowPages,"SNAPR@bis.doc.gov, u003eSNAPR@bis.doc.gov","Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
Westlake Reed Leskosky,https://www.yellowpages.com/washington-dc/mip/westlake-reed-leskosky-472463297,(202) 296-4344,http://www.hvacdb.com,"1634 I St NW Ste 900, Washington, DC 20006",YellowPages,example@domain.com,"Washington, DC",Interior Designers,0.0,Connection Failed,Neutral
Ncto,https://www.yellowpages.com/washington-dc/mip/ncto-558428448,(202) 822-8026,http://ncto.org/contact,"1701 K St NW, Washington, DC 20006",YellowPages,"rtantillo@ncto.org, Kwhite@ncto.org, rhaynes@ncto.org, tethington@ncto.org, sbeatty@ncto.org, bmaxwell@ncto.org, kellis@ncto.org","Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
Staging Design DC,https://www.yellowpages.com/washington-dc/mip/staging-design-dc-548689574,(202) 288-3809,https://www.ccstaginganddesign.com,"1300 I St NW, Washington, DC 20005",YellowPages,info@ccstaginganddesign.com,"Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
"BBGM Architects & Interiors, Inc.",https://www.yellowpages.com/washington-dc/mip/bbgm-architects-interiors-inc-488651838,(202) 452-1644,https://www.bbgm.com,"1825 K St NW, Washington, DC 20006",YellowPages,"media@bbgm.com, employment@bbgm.com, info@bbgm.com","Washington, DC",Interior Designers,0.0,M:0/T:0,Neutral
"TRIARCH, Inc.",https://www.yellowpages.com/new-york-ny/mip/triarch-inc-459693473?lid=1001375728009,(212) 431-1455,http://www.triarch.com,"42 N Moore St, New York, NY 10013",YellowPages,email@triarch.com,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Pierce Allen,https://www.yellowpages.com/new-york-ny/mip/pierce-allen-8369647,(212) 627-5440,http://www.pierceallen.com,"80 8th Ave, New York, NY 10011",YellowPages,bobbyperdana48@gmail.com,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Andi Pepper Interiors,https://www.yellowpages.com/new-york-ny/mip/andi-pepper-interiors-463052472,(212) 421-3712,https://www.sbjgroup.com/contact.html,"381 Park Ave S, New York, NY 10016",YellowPages,contactus@sbjgroup.com,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
B G Studio International,https://www.yellowpages.com/new-york-ny/mip/b-g-studio-international-453453790,(212) 242-8273,http://bgstudio.com,"264 W 40th St, New York, NY 10018",YellowPages,"bgsi@bgstudio.com, billh@bgstudio.com, fbucci@bgstudio.com","New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Palazzo Interiors,https://www.yellowpages.com/new-york-ny/mip/palazzo-interiors-12204518,(212) 971-5401,http://palazzointeriors.com,"65 Nassau St Apt 2A, New York, NY 10038",YellowPages,info@palazzointeriors.com,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Rux,https://www.yellowpages.com/new-york-ny/mip/rux-2865658,(212) 206-0977,http://www.ruxdesign.net,"176 Broadway Apt MF, New York, NY 10038",YellowPages,info@ruxdesign.net,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Tom Ring Interior Design,https://www.yellowpages.com/new-york-ny/mip/tom-ring-interior-design-2187558,(212) 633-1720,http://tomringinteriordesign.com,"405 E 14th St, New York, NY 10009",YellowPages,tomring@verizon.net,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Amy Seminski Interior Design,https://www.yellowpages.com/new-york-ny/mip/amy-seminski-interior-design-465562372,(212) 868-0800,https://www.seminski.com,"131 5th Ave, New York, NY 10003",YellowPages,"info@seminski.com, user@domain.com","New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
John A Buscarello Inc,https://www.yellowpages.com/new-york-ny/mip/john-a-buscarello-inc-467591640,(212) 691-5881,https://www.buscarello.com,"27 W 20th St, New York, NY 10011",YellowPages,john@buscarello.com,"New York, NY",Interior Designers,0.0,M:0/T:0,Neutral
Stevens Exhibits and Displays Inc,https://www.yellowpages.com/chicago-il/mip/stevens-exhibits-and-displays-inc-23187233?lid=1002179075859,(773) 932-5039,http://www.stevensexhibits.com,"3900 S Union Ave, Chicago, IL 60609",YellowPages,info@stevensexhibits.com,"Chicago, IL",Interior Designers,0.0,M:0/T:0,Neutral
Richar Interiors,https://www.yellowpages.com/chicago-il/mip/richar-interiors-460254766,(312) 455-0924,http://richarinteriors.com,"1327 W Washington Blvd Ste 106, Chicago, IL 60607",YellowPages,richar@richarinteriors.com,"Chicago, IL",Interior Designers,0.0,M:0/T:0,Neutral
Robyn Shapiro Design Inc,https://www.yellowpages.com/chicago-il/mip/robyn-shapiro-design-inc-11423127,(312) 396-0400,http://www.robynshapiro.com,"220 W Kinzie St, Chicago, IL 60654",YellowPages,contact@robynshapiro.com,"Chicago, IL",Interior Designers,0.0,M:0/T:0,Neutral
Metrotech Design Group,https://www.yellowpages.com/chicago-il/mip/metrotech-design-group-5562521,(312) 670-5001,http://www.metrotechdg.com,"311 W Illinois St, Chicago, IL 60654",YellowPages,metrodg@aol.com,"Chicago, IL",Interior Designers,0.0,M:0/T:0,Neutral
David Andrew Interiors,https://www.yellowpages.com/chicago-il/mip/david-andrew-interiors-12927309,(312) 467-0900,http://www.davidandrewinteriors.com,"320 W Illinois St Apt 1006, Chicago, IL 60654",YellowPages,info@davidandrewinteriors.com,"Chicago, IL",Interior Designers,0.0,M:1/T:1,Neutral
Five Five Five Design,https://www.yellowpages.com/chicago-il/mip/five-five-five-design-10186775,(773) 869-0555,https://www.555.com,"4501 S Western Blvd, Chicago, IL 60609",YellowPages,"info@555.com, info@555design.com","Chicago, IL",Interior Designers,0.0,M:0/T:0,Neutral
Laura Thompson Design Co,https://www.yellowpages.com/houston-tx/mip/laura-thompson-design-co-5362738,(713) 863-7760,http://laurathompsondesign.net,"234 W 16th St, Houston, TX 77008",YellowPages,"john@laurathompsondesign.net, info@laurathompsondesign.net, support@mail.trinicom.com","Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Millennium Designs,https://www.yellowpages.com/houston-tx/mip/millennium-designs-11426799,(713) 263-0064,http://millenniumdesignsinc.com,"3602 Bolin Rd, Houston, TX 77092",YellowPages,"info@millenniumdesignsinc.com, wendy@millenniumdesignsinc.com","Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Kaleidoscope Studio of Interior Design,https://www.yellowpages.com/houston-tx/mip/kaleidoscope-studio-of-interior-design-10384549,(713) 827-1282,http://www.kaleidoscope-studio.com,"8558 Katy Fwy Ste 119, Houston, TX 77024",YellowPages,judy@kaleidoscope-studio.com,"Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Elizabeth Koval Designs,https://www.yellowpages.com/houston-tx/mip/elizabeth-koval-designs-457138109,(713) 344-1080,http://www.manta.com/c/mxj9qr3/elizabeth-koval-designs-inc,"1973 W Gray St Ste 9, Houston, TX 77019",YellowPages,"cancellations@manta.com, removals@manta.com, mantasupp@manta.com, jsmith@email.com","Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Sitting Room,https://www.yellowpages.com/houston-tx/mip/sitting-room-6735449,(713) 523-1925,https://www.gingerbarber.com/contact,"2025 W Alabama St, Houston, TX 77098",YellowPages,"info@gingerbarber.com, hello@gingerbarber.com","Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Vieux Interiors,https://www.yellowpages.com/houston-tx/mip/vieux-interiors-453679609,(713) 626-9500,http://www.vieuxinteriors.com,"3701 W Alabama St Ste 160, Houston, TX 77027",YellowPages,office@vieuxinteriors.com,"Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Karen Kramer & Associates Interior Design,https://www.yellowpages.com/houston-tx/mip/karen-kramer-associates-interior-design-7252445,(713) 869-9979,https://www.karenkramerassociates.com/contact,"7026 Old Katy Rd, Houston, TX 77024",YellowPages,"karen@karenkramerassociates.com, user@domain.com","Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Sache Designs,https://www.yellowpages.com/houston-tx/mip/sache-designs-30253069,(281) 851-4466,https://www.sachedesigns.com,"9902 Bromel Station St, Houston, TX 77070",YellowPages,julie@sachedesigns.com,"Houston, TX",Interior Designers,0.0,M:0/T:0,Neutral
Nelson Interiors,https://www.yellowpages.com/san-antonio-tx/mip/nelson-interiors-497718466?lid=1002194062497,(210) 594-0968,http://nelsoninteriors.com,"1914 Grandstand Dr, San Antonio, TX 78238",YellowPages,emily@nelsoninteriors.com,"San Antonio, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Courtney & Co,https://www.yellowpages.com/san-antonio-tx/mip/courtney-co-473566550,(210) 822-7453,http://courtneyandco.com,"1302 E Euclid Ave, San Antonio, TX 78212",YellowPages,info@courtneyandco.com,"San Antonio, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Designs & Details Interiors,https://www.yellowpages.com/san-antonio-tx/mip/designs-details-interiors-6988,(210) 694-2340,https://www.designsanddetailsinteriors.com,"12438 West Ave, San Antonio, TX 78216",YellowPages,"designs_and_det@sbcglobal.net, 8c4075d5481d476e945486754f783364@sentry.io, name@example.com","San Antonio, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Garza-Bomberger & Associates,https://www.yellowpages.com/san-antonio-tx/mip/garza-bomberger-associates-478711964,(210) 349-7000,http://www.gbarch.net,"5545 Fredericksburg Rd, San Antonio, TX 78229",YellowPages,design1@gbarch.net,"San Antonio, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Staging Spaces SA,https://www.yellowpages.com/san-antonio-tx/mip/staging-spaces-sa-490191377,(210) 725-9136,http://www.stagingspacessa.com,"Call for appointment, San Antonio, TX 78249",YellowPages,"info@indiantypefoundry.com, typesetit@att.net","San Antonio, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Looney & Associates-Dallas,https://www.yellowpages.com/dallas-tx/mip/looney-associates-dallas-10318273,(214) 720-4477,http://www.looney-associates.com,"3131 Mckinney Ave, Dallas, TX 75204",YellowPages,"design@looney-associates.com, mollym@looney-associates.com","Dallas, TX",Interior Designers,0.0,M:0/T:0,Neutral
Ortega's Custom Interiors Inc,https://www.yellowpages.com/dallas-tx/mip/ortegas-custom-interiors-inc-2332939,(214) 341-4003,https://www.ocidesigns.com/contact,"10885 Alder Cir, Dallas, TX 75238",YellowPages,"ortegaci@me.com, user@domain.com","Dallas, TX",Interior Designers,0.0,M:0/T:0,Neutral
James McInroe Inc.,https://www.yellowpages.com/dallas-tx/mip/james-mcinroe-inc-460227368,(214) 526-8078,http://www.jamesmcinroeinc.net,"1500 Dragon St Ste 160, Dallas, TX 75207",YellowPages,"Jamesmcinroeinc@yahoo.com, user@domain.com, jamesmcinroeinc@yahoo.com","Dallas, TX",Interior Designers,0.0,M:0/T:0,Neutral
Wagnon & Manning Design Inc,https://www.yellowpages.com/dallas-tx/mip/wagnon-manning-design-inc-1678186,(214) 744-2000,http://dallasdesigndistrict.com,"1519 Hi Line Dr Ste C, Dallas, TX 75207",YellowPages,"security@dallasdesigndistrict.com, pam@dallasdesigndistrict.com, slandry@dunhillpartners.com, support@dallasdesigndistrict.com","Dallas, TX",Interior Designers,0.0,M:2/T:2,Neutral
Inwood Estates Vineyards Inc,https://www.yellowpages.com/dallas-tx/mip/inwood-estates-vineyards-inc-453549915,(214) 902-9452,http://www.inwoodwines.com,"1350 Manufacturing St, Dallas, TX 75207",YellowPages,"inwoodfbg@gmail.com, email@example.com, inwoodwineclub@gmail.com","Dallas, TX",Interior Designers,0.0,M:0/T:0,Neutral
Eyecon Inc,https://www.yellowpages.com/dallas-tx/mip/eyecon-inc-464862770,(214) 941-0500,http://www.eyeconmurals.com/contact,"1341 Plowman Ave, Dallas, TX 75203",YellowPages,"EYCON@EARTHLINK.NET, user@domain.com, eycon@earthlink.net","Dallas, TX",Interior Designers,0.0,M:0/T:0,Neutral
Genesis Planning & Design,https://www.yellowpages.com/columbus-oh/mip/genesis-planning-design-510630692,(614) 926-1191,http://genesisohio.com,"300 E Broad St Ste 700, Columbus, OH 43215",YellowPages,info@genesisplanningdesign.com,"Columbus, OH",Interior Decorators,0.0,M:0/T:0,Neutral
The Reclaimed Barn,https://www.yellowpages.com/columbus-oh/mip/the-reclaimed-barn-538983475,(614) 541-2747,https://www.reclaimedbarn.com/contact,"1080 Ridge St, Columbus, OH 43215",YellowPages,info@reclaimedbarn.com,"Columbus, OH",Interior Decorators,0.0,M:0/T:0,Neutral
Maraye Design Studio,https://www.yellowpages.com/columbus-oh/mip/maraye-design-studio-548552459,(614) 231-3082,https://maraye.com,"3000 E Main St Unit 170, Columbus, OH 43209",YellowPages,"info@maraye.com, ivan@maraye.com, debra@maraye.com, 17323c98add644b5b2ff137282cff029@maraye.com","Columbus, OH",Interior Decorators,0.0,M:0/T:0,Neutral
Williams Interior Designs Inc,https://www.yellowpages.com/columbus-oh/mip/williams-interior-designs-inc-559229882,(614) 418-7250,http://williamsinteriordesigns.com/contact/?s=,"4449 Easton Way, Columbus, OH 43219",YellowPages,"design@williamsinteriordesigns.com, carolyn@williamsinteriordesigns.com, tracy@williamsinteriordesigns.com, meg@williamsinteriordesigns.com","Columbus, OH",Interior Decorators,0.0,M:0/T:0,Neutral
Tonya Harding,https://www.yellowpages.com/columbus-oh/mip/tonya-harding-545387272,(614) 657-4773,https://stagingwithatouchofclass.co/product/boticcino,"20 S 3rd St, Columbus, OH 43215",YellowPages,tonya@stagingwithatouchofclass.co,"Columbus, OH",Interior Decorators,0.0,M:0/T:0,Neutral
Kittles,https://www.yellowpages.com/indianapolis-in/mip/kittles-1934407?lid=1000115293633,(317) 849-5300,http://www.kittles.com,"8600 Allisonville Rd, Indianapolis, IN 46250",YellowPages,"billing-inquiries@kittles.com, human-resources@kittles.com, www-manager@kittles.com, Customer-Service-Indiana@kittles.com, kittlesrepair@kittles.com, resumes@kittles.com, general-comments@kittles.com, Lafayette-Email-Admin@kittles.com, Deliverykittles.com@kittles.com, Bloomington-Email-Admin@kittles.com, Greenwood-Email-Admin@kittles.com, Castleton-Email-Admin@kittles.com","Indianapolis, IN",Interior Decorators,0.0,M:0/T:0,Neutral
Cooler Design Inc,https://www.yellowpages.com/indianapolis-in/mip/cooler-design-inc-479083910,(317) 816-1144,http://www.coolerdesign.com,"9135 N Meridian St, Indianapolis, IN 46260",YellowPages,info@coolerdesign.com,"Indianapolis, IN",Interior Decorators,0.0,M:0/T:0,Neutral
Adeeni Design Group Inc,https://www.yellowpages.com/san-francisco-ca/mip/adeeni-design-group-inc-30934241,(415) 928-4685,https://www.adeenidesigngroup.com/pages/contact,"391 Sutter St, San Francisco, CA 94108",YellowPages,info@adeenidesigngroup.com,"San Francisco, CA",Interior Designers,0.0,M:0/T:0,Neutral
Warren Sheets Design,https://www.yellowpages.com/san-francisco-ca/mip/warren-sheets-design-473246345,(415) 626-2320,https://warrensheetsdesign.com/contact,"155 Connecticut St, San Francisco, CA 94107",YellowPages,info@warrensheetsdesign.com,"San Francisco, CA",Interior Designers,0.0,M:0/T:0,Neutral
Nicole Hollis Interiors,https://www.yellowpages.com/san-francisco-ca/mip/nicole-hollis-interiors-505331834,(415) 278-9457,http://nicolehollis.com,"935 Natoma St, San Francisco, CA 94103",YellowPages,"INFO@NICOLEHOLLIS.COM, press@nicolehollis.com, CAREERS@NICOLEHOLLIS.COM, library@nicolehollis.com, info@nicolehollis.com, LIBRARY@NICOLEHOLLIS.COM, ENQUIRIES@NICOLEHOLLIS.COM, PRESS@NICOLEHOLLIS.COM, careers@nicolehollis.com, enquiries@nicolehollis.com","San Francisco, CA",Interior Designers,0.0,M:0/T:0,Neutral
Niche Interiors,https://www.yellowpages.com/san-francisco-ca/mip/niche-interiors-482117361,(415) 749-0610,http://www.nicheinteriors.com,"1000 Brannan St Ste 302, San Francisco, CA 94103",YellowPages,info@nicheinteriors.com,"San Francisco, CA",Interior Designers,0.0,M:0/T:0,Neutral
Kendall Wilkinson Design,https://www.yellowpages.com/san-francisco-ca/mip/kendall-wilkinson-design-2509271,(415) 409-2299,http://www.kendallwilkinson.com,"3419 Sacramento St, San Francisco, CA 94118",YellowPages,"newprojects@kendallwilkinson.com, user@domain.com, info@kendallwilkinson.com, rps@raymondpaulschneider.com","San Francisco, CA",Interior Designers,0.0,M:0/T:0,Neutral
