company_name,extracted_email,phone,address,website,art_affinity_score,art_category,country
HARRINGTON INTERIORS - Harrington Interiors Home,design@harringtoninteriors.net,,,https://www.harringtoninteriors.net/,1.0,Modern/Abstract,Canada
"Staged For Upsell: Home Staging, Interior Re-Design ...",joanna@stagedforupsell.com,,,https://www.stagedforupsell.com/,1.0,Modern/Abstract,Canada
What is the 70/30 rule in interior design? - Group 3 Designs,info@group3designs.net,,,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",3.0,Modern/Abstract,Canada
Mosaic Design,contact@mosaicdesignstudio.ca,,,https://www.mosaicdesignstudio.ca/,1.0,Modern/Abstract,Canada
Jessica Davis Design - Designing and Renovating,jess@jessicadavis.ca,,,https://jessicadavis.ca/,1.0,Modern/Abstract,Canada
Fresco Interiors Design Group Inc. l Saskatoon ...,"miranda@frescointeriors.ca,8c4075d5481d476e945486754f783364@sentry.io,paula@frescointeriors.ca,charlene@frescointeriors.ca,rachel@frescointeriors.ca",,,https://www.frescointeriors.ca/,2.0,Modern/Abstract,Canada
Alt Haus Interior Design,hello@althaus.ca,,,https://www.althaus.ca/?srsltid=AfmBOorOi38FxzefVFlpGPTnCoW5Ema9PcxSgB08YFsRb-bm8jWMKPyD,8.0,Modern/Abstract,Canada
Interior Design Saskatoon - Paradise Design YXE,design@paradiseyxe.com,,,https://paradiseyxe.com/,1.0,Modern/Abstract,Canada
Luxury Interior Design Company | Urbanhome Windsor,"egroulx@urbanhomeinteriordesign.com,jmason@urbanhomeinteriordesign.com,bdurham@urbanhomeinteriordesign.com,info@urbanhomeinteriordesign.com,jlotz@urbanhomeinteriordesign.com",,,https://www.urbanhomeinteriordesign.com/about-urbanhome-interior-design/,1.0,Modern/Abstract,Canada
Diane Shaink: Designer d'intérieur Sherbrooke ...,dianeshaink@gmail.com,,,https://dianeshainkdesign.com/,1.0,Modern/Abstract,Canada
"Amélie Tanguay Design, 675 Boisjoli Rue, Sherbrooke, QC ...",help@mapquest.com,,,https://www.mapquest.com/ca/quebec/amelie-tanguay-design-456219357,1.0,Modern/Abstract,Canada
Interior Design,lisa@thefinishedcollective.com,,,https://thefinishedcollective.com/,1.0,Modern/Abstract,Canada
"Su Casa - Full-service residential design firm, Vancouver, BC.",info@sucasadesign.ca,,,https://sucasa.ca/,1.0,Modern/Abstract,Canada
Intuitive Home | interior decorating,"Brittanywasstrom@gmail.com,brittanywasstrom@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.intuitivehomekelowna.com/,1.0,Modern/Abstract,Canada
Residential and Commercial Interior Architectural Design in ...,"info@invisiondesign.ca,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.invisiondesign.ca/,1.0,Modern/Abstract,Canada
Taylor Dawson Designs | Home,"taylor@taylordawsondesigns.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.taylordawsondesigns.com/,2.0,Modern/Abstract,Canada
Stone & Associates Design - Interior & Architectural Design,info@stoneandassociates.ca,,,https://stone-and-associates.com/,3.0,Modern/Abstract,Canada
What is a Normal Budget for Interior Design in India? - Near Me Interiors,info@nearmeinteriors.com,,,"https://nearmeinteriors.com/what-is-a-normal-budget-for-interior-design-in-india/#:~:text=Interior%20designers%20in%20India%20charge,ft.",1.0,Modern/Abstract,Canada
Tolt Studio,"hello@toltstudio.com,HELLO@TOLTSTUDIO.COM",,,https://toltstudio.com/,1.0,Modern/Abstract,Canada
Alyssa Marie Designs – Interior Decorating Thunder Bay,alyssa@amdesigns.co,,,https://amdesigns.co/,2.0,Modern/Abstract,Canada
Arcuo Interiors | Thunder Bay Interior Design,info@arcuointeriors.com,,,https://www.arcuointeriors.com/,1.0,Modern/Abstract,Canada
Interior Design & Renovation Planning in Victoria BC,hello@maverick-design.ca,,,https://maverick-design.ca/,5.0,Modern/Abstract,Canada
Meade Design Group - Victoria,"info@meadedesigngroup.com,example@mail.com",,,https://meadedesigngroup.com/,22.0,Modern/Abstract,Canada
