company_name,yellowpages_url,phone,website,address,source,extracted_email,target_city,search_term,art_affinity_score,score_details,art_category
Slovack Bass,https://www.yellowpages.com/houston-tx/mip/slovack-bass-465013569,(713) 956-7240,https://www.slovack-bass.com,"1325 Antoine Dr, Houston, TX 77055",YellowPages,design@slovack-bass.com,"Houston, TX",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Margaret L Larcade Interiors,https://www.yellowpages.com/san-antonio-tx/mip/margaret-l-larcade-interiors-463739247,(210) 733-0260,http://www.larcadelarcade.com,"511 E Craig Pl, San Antonio, TX 78212",YellowPages,info@larcadelarcade.com,"San Antonio, TX",Interior Decorators,4.0,M:4/T:0,Modern/Abstract
Image360 San Antonio Central,https://www.yellowpages.com/san-antonio-tx/mip/image360-san-antonio-central-579681317,(210) 892-0203,https://image360.com/san-antonio-tx-central/?utm_source=gbp&utm_medium=organic&utm_campaign=lg,"1230 Basse Rd, San Antonio, TX 78212",YellowPages,"nasmah@image360sacentral.com, info@image360sacentral.com","San Antonio, TX",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Younique Designs,https://www.yellowpages.com/san-antonio-tx/mip/younique-designs-562887580,(210) 354-7828,https://www.myyouniquedesigns.com,"13106 Hunters Valley St, San Antonio, TX 78230",YellowPages,"contact@myyouniquedesigns.com, user@domain.com, team@myyouniquedesigns.com","San Antonio, TX",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Top Drawer Interiors,https://www.yellowpages.com/dallas-tx/mip/top-drawer-interiors-4808824,(214) 631-2353,http://www.topdrawerinteriors.com,"2336 Farrington St, Dallas, TX 75207",YellowPages,joe@topdrawerinteriors.com,"Dallas, TX",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Spencer Russo Group,https://www.yellowpages.com/columbus-oh/mip/spencer-russo-group-482443098,(614) 227-3155,https://danielhome.com,"35 E Gay St, Columbus, OH 43215",YellowPages,"info@danielhome.com, office@danielhome.com, user@domain.com, press@danielhome.com","Columbus, OH",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Donald Mee Design,https://www.yellowpages.com/indianapolis-in/mip/donald-mee-design-517455390,(317) 701-7124,https://maker-marketplace.com/m/67865/donaldmeedesigns,"1413 E Naomi St, Indianapolis, IN 46203",YellowPages,"gdeakins69@gmail.com, donaldmeedesign@gmail.com, mzkohler@yahoo.com, u003esupport@maker-marketplace.com, legal@maker-marketplace.com, howbott@sbcglobal.net, malexander2703@gmail.com, support@maker-marketplace.com, jsmith@emailaddress.com, jmacdxx@gmail.com","Indianapolis, IN",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Studio G Design,https://www.yellowpages.com/san-francisco-ca/mip/studio-g-design-15083542,(415) 614-9700,http://www.studio-g-design.com,"1836 Union St, San Francisco, CA 94123",YellowPages,karen@studio-g-design.com,"San Francisco, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Adamson Molina Design,https://www.yellowpages.com/san-francisco-ca/mip/adamson-molina-design-461778565,(415) 576-1010,http://adamson-molina.com,"231 Greenwich St Apt 2, San Francisco, CA 94133",YellowPages,"amycadamson@icloud.com, user@domain.com","San Francisco, CA",Interior Designers,2.0,M:2/T:0,Modern/Abstract
Touch of Modern,https://www.yellowpages.com/san-francisco-ca/mip/touch-of-modern-504068170,(415) 230-0750,https://www.touchofmodern.com,"329 12th St, San Francisco, CA 94103",YellowPages,"email@address.com, hello@touchofmodern.com","San Francisco, CA",Interior Designers,5.0,M:6/T:1,Modern/Abstract
"BAMO, Inc.",https://www.yellowpages.com/san-francisco-ca/mip/bamo-inc-481049880,(415) 979-9880,http://www.bamo.com,"1000 Brannan St Ste 300, San Francisco, CA 94103",YellowPages,"info@bamo.com, Info@bamo.com","San Francisco, CA",Interior Designers,8.0,M:9/T:1,Modern/Abstract
"Architect Mason Kirby, Inc.",https://www.yellowpages.com/san-francisco-ca/mip/architect-mason-kirby-inc-480773131,(415) 867-5357,http://masonkirby.com,"301 Bocana St, San Francisco, CA 94110",YellowPages,mk@masonkirby.com,"San Francisco, CA",Interior Decorators,6.0,M:6/T:0,Modern/Abstract
Ashley Campbell Interior Design,https://www.yellowpages.com/denver-co/mip/ashley-campbell-interior-design-475482800,(303) 996-6195,http://www.ashleycampbell.com,"2601 Blake St Ste 110, Denver, CO 80205",YellowPages,info@ashleycampbell.com,"Denver, CO",Interior Designers,15.0,M:16/T:1,Modern/Abstract
Innovative Interiors & Construction Inc,https://www.yellowpages.com/denver-co/mip/innovative-interiors-construction-inc-19553097,(303) 922-3500,http://iic.bz,"2294 S Kalamath St, Denver, CO 80223",YellowPages,"kittye@iic.bz, mikek@iic.bz, erniej@iic.bz, davidv@iic.bz, mattd@iic.bz, logans@iic.bz","Denver, CO",Interior Designers,3.0,M:3/T:0,Modern/Abstract
Creative Interiors Design Limited,https://www.yellowpages.com/denver-co/mip/creative-interiors-design-limited-3858404,(303) 758-5800,http://www.creativeinteriorsdesigndenver.com,"2190 S Lipan St, Denver, CO 80223",YellowPages,"creative2190@aol.com, kennymacdaddy007@aol.com, macdaddy007@aol.com, creative4960@aol.com","Denver, CO",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Remix Interior Decor Furnishing Staging,https://www.yellowpages.com/philadelphia-pa/mip/remix-interior-decor-furnishing-staging-579544217,(609) 736-4910,http://www.remixliving.com,"4500 Worth St, Philadelphia, PA 19124",YellowPages,"Sales@remixliving.com, user@domain.com, Sales@RemixLiving.com, Sales@Remixliving.com, contact@remixliving.com, sales@remixliving.com","Philadelphia, PA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Heather Allen Design Group,https://www.yellowpages.com/las-vegas-nv/mip/heather-allen-design-group-542795487,(702) 547-1616,https://www.heatherallendesigngroup.com,"5275 Arville St, Las Vegas, NV 89118",YellowPages,"sales@hadesigngroup.com, sales@heatherallenconcepts.com","Las Vegas, NV",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Natalie O Design,https://www.yellowpages.com/louisville-ky/mip/natalie-o-design-570318052,(502) 333-5045,http://www.natalieodesign.com,"701 E Kentucky St, Louisville, KY 40203",YellowPages,"info@natalieodesign.com, natalie@natalieodesign.com, user@domain.com","Louisville, KY",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Greylyn Wayne Home Staging & Interior Design,https://www.yellowpages.com/portland-or/mip/greylyn-wayne-home-staging-interior-design-578523699,(971) 930-0220,https://www.greylynwayne.com,"1011 SE Oak St, Portland, OR 97214",YellowPages,"design@greylynwayne.com, 8c4075d5481d476e945486754f783364@sentry.io","Portland, OR",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Designed Curated Interiors,https://www.yellowpages.com/sacramento-ca/mip/designed-curated-interiors-575763500,(916) 756-5977,http://designedcurated.com,"Sacramento, CA 95864",YellowPages,"your.email@example.com, john@example.com, amy@designedcurated.com","Sacramento, CA",Interior Decorators,12.0,M:13/T:1,Modern/Abstract
J Nelson Inc,https://www.yellowpages.com/atlanta-ga/mip/j-nelson-inc-467355156,(404) 477-2225,http://jnelsoninc.com,"351 Peachtree Hills Ave NE, Atlanta, GA 30305",YellowPages,"frank@jnelsoninc.com, john@jnelsoninc.com","Atlanta, GA",Interior Designers,1.0,M:2/T:1,Modern/Abstract
Interiors by Eric James,https://www.yellowpages.com/omaha-ne/mip/interiors-by-eric-james-476353243,(402) 850-3999,http://www.interiorsbyericjames.com,"Omaha, NE 68154",YellowPages,info@interiorsbyericjames.com,"Omaha, NE",Interior Designers,1.0,M:2/T:1,Modern/Abstract
Image360 Omaha Central,https://www.yellowpages.com/omaha-ne/mip/image360-omaha-central-579685742,(402) 934-2777,https://image360.com/omaha-ne-central/?utm_source=gbp&utm_medium=organic&utm_campaign=lg,"6901 Irvington Rd Ste B, Omaha, NE 68122",YellowPages,sales@image360omahacentral.com,"Omaha, NE",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Michael Wolk Design Associates,https://www.yellowpages.com/miami-fl/mip/michael-wolk-design-associates-1000445,(305) 576-2898,https://www.michaelwolkdesign.com,"31 NE 28th St, Miami, FL 33137",YellowPages,"contact@wolkdesign.com, user@domain.com","Miami, FL",Interior Designers,2.0,M:2/T:0,Modern/Abstract
AMG Interiors,https://www.yellowpages.com/virginia-beach-va/mip/amg-interiors-548570219,(757) 737-3641,http://amginteriors.net,"606 Vanderbilt Ave, Virginia Beach, VA 23451",YellowPages,"agibson@amginteriors.net, 8c4075d5481d476e945486754f783364@sentry.io","Virginia Beach, VA",Interior Designers,2.0,M:3/T:1,Modern/Abstract
Eubank Design Concepts Inc,https://www.yellowpages.com/virginia-beach-va/mip/eubank-design-concepts-inc-1400484,(757) 428-1953,http://www.eubankdesign.com,"913 Kela Cres, Virginia Beach, VA 23451",YellowPages,"intedc@gmail.com, user@domain.com","Virginia Beach, VA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Satin and Slate Interior Design Company,https://www.yellowpages.com/long-beach-ca/mip/satin-and-slate-interior-design-company-563754616,(562) 444-8745,https://www.satinandslateinteriors.com/contact-us,"1868 Pacific Ave, Long Beach, CA 90806",YellowPages,TheStudio@SatinandSlateInteriors.com,"Long Beach, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Highlights Design,https://www.yellowpages.com/long-beach-ca/mip/highlights-design-30391409,(562) 985-3130,http://decoratingden.com,"4429 E Anaheim St, Long Beach, CA 90804",YellowPages,info@decoratingden.com,"Long Beach, CA",Interior Designers,2.0,M:4/T:2,Modern/Abstract
Mode Staging & Design,https://www.yellowpages.com/oakland-ca/mip/mode-staging-design-528701598,(510) 282-1285,http://modestaginganddesign.com,"5251 Broadway, Oakland, CA 94618",YellowPages,modestaging@gmail.com,"Oakland, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Studio One Design/Susan Hershman,https://www.yellowpages.com/oakland-ca/mip/studio-one-design-susan-hershman-471030360,(510) 332-7253,http://www.studio-one-design.com,"1395 Trestle Glen Rd, Oakland, CA 94610",YellowPages,shershman@studio-one-design.com,"Oakland, CA",Interior Designers,2.0,M:2/T:0,Modern/Abstract
"P.  F. and Associates/Interior Design, Inc.",https://www.yellowpages.com/minneapolis-mn/mip/p-f-and-associates-interior-design-inc-5005689,(763) 559-3377,https://www.pfa-architect.com,"2624 Shenandoah Ln N, Minneapolis, MN 55447",YellowPages,"Lvega@pfa-architect.com, user@domain.com, lvega@pfa-architect.com, trauchen@pfa-architect.com","Minneapolis, MN",Interior Decorators,6.0,M:6/T:0,Modern/Abstract
Abode & Co,https://www.yellowpages.com/minneapolis-mn/mip/abode-co-515372034,(763) 205-2709,http://www.abodeandco.com,"3355 Plymouth Blvd Ste 130, Minneapolis, MN 55447",YellowPages,"abodeandco2014@gmail.com, abuse@company.site","Minneapolis, MN",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Tangram,https://www.yellowpages.com/bakersfield-ca/mip/tangram-509251169,(661) 397-5300,https://www.tangraminteriors.com,"1830 Norris Rd, Bakersfield, CA 93308",YellowPages,"mzelinger@tangraminteriors.com, JLozowski@tangraminteriors.com, mpeters@tangraminteriors.com, slozowski@tangraminteriors.com, ngreenko@tangraminteriors.com, mchaput@tangraminteriors.com, kreed@tangraminteriors.com, clau@tangraminteriors.com, info@tangraminteriors.com, gmorales@tangraminteriors.com, psmith@tangraminteriors.com, dsharp@tangraminteriors.com, jleach@tangraminteriors.com, sbirdsong@tangraminteriors.com, lcarmona@tangraminteriors.com, kmacintosh@tangraminteriors.com, cwiederholt@studioother.com, nmeter@tangraminteriors.com, kchristensen@tangraminteriors.com, aarmesto@tangraminteriors.com, ajones@tangraminteriors.com, elockwood@tangraminteriors.com, pbawol@tangraminteriors.com, tkranenburg@tangraminteriors.com","Bakersfield, CA",Interior Designers,2.0,M:3/T:1,Modern/Abstract
Posh Interiors,https://www.yellowpages.com/bakersfield-ca/mip/posh-interiors-463203072,(805) 901-0092,https://www.poshinteriors.com,"3015 Calloway Dr, Bakersfield, CA 93312",YellowPages,"monique@poshinteriors.com, mail@example.com, info@poshinteriors.com","Bakersfield, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Kelly Archer Interiors Inc,https://www.yellowpages.com/bakersfield-ca/mip/kelly-archer-interiors-inc-522452172,(661) 809-2687,http://www.kellyarcherinteriors.com,"11000 Brimhall Rd, Bakersfield, CA 93312",YellowPages,"kelly@kellyarcherinteriors.com, contact@kellyarcherinteriors.com","Bakersfield, CA",Interior Designers,4.0,M:5/T:1,Modern/Abstract
Poonam's by Design,https://www.yellowpages.com/aurora-co/mip/poonams-by-design-564909562,(720) 274-5620,https://poonamsbydesign.com,"6290 S Main St Ste M-108, Aurora, CO 80016",YellowPages,info@poonamsbydesign.com,"Aurora, CO",Interior Decorators,1.0,M:2/T:1,Modern/Abstract
Interiors of Colorado,https://www.yellowpages.com/aurora-co/mip/interiors-of-colorado-466133139,(303) 617-5656,http://interiorsofcolorado.com,"1987 S Xanadu Way, Aurora, CO 80014",YellowPages,interiorsofcolorado23@gmail.com,"Aurora, CO",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
B Frohman Imaging + Design,https://www.yellowpages.com/cleveland-oh/mip/b-frohman-imaging-design-578109006,(440) 413-0663,https://bfrohmanimagingdesign.zenfolio.com,"Bell Ave, Cleveland, OH 44104",YellowPages,bobbi@bfimaging.com,"Cleveland, OH",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Ninush,https://www.yellowpages.com/henderson-nv/mip/ninush-469847583,(702) 998-5234,http://www.ninush.com,"170 S Green Valley Pkwy Ste 130, Henderson, NV 89012",YellowPages,"Snir@NINUSH.COM, Snir@ninush.com","Henderson, NV",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Interior Services of Nevada,https://www.yellowpages.com/henderson-nv/mip/interior-services-of-nevada-578402822,(702) 739-7900,http://www.isn-pros.com/about-us/interior-services-history,"150 Cassia Way, Henderson, NV 89014",YellowPages,customerservice@isn-pros.com,"Henderson, NV",Interior Designers,1.0,M:1/T:0,Modern/Abstract
JWP Interiors,https://www.yellowpages.com/orlando-fl/mip/jwp-interiors-577131010,(407) 990-1516,https://jwpinteriors.com,"420 E Church St, Orlando, FL 32801",YellowPages,info@jwpinteriors.com,"Orlando, FL",Interior Decorators,2.0,M:3/T:1,Modern/Abstract
Blue Daze Designs,https://www.yellowpages.com/orlando-fl/mip/blue-daze-designs-458954299,(407) 895-5112,https://bluedazedesigns.com,"3131 Corrine Dr, Orlando, FL 32803",YellowPages,info@bluedazedesigns.com,"Orlando, FL",Interior Decorators,5.0,M:5/T:0,Modern/Abstract
Ultra Wine Racks & Cellars™,https://www.yellowpages.com/stockton-ca/mip/ultra-wine-racks-cellars-545997104,(800) 343-9463,https://www.ultrawineracks.com,"1738 E Alpine Ave, Stockton, CA 95205",YellowPages,"info@ultrawineracks.com, sales@ultrawineracks.com","Stockton, CA",Interior Designers,9.0,M:10/T:1,Modern/Abstract
Bartolo,https://www.yellowpages.com/santa-ana-ca/mip/bartolo-530082773,(949) 757-1301,http://www.bartolodesigns.net,"1921 Carnegie Ave, Santa Ana, CA 92705",YellowPages,"mona@bartolodesigns.com, john@bartolodesigns.com","Santa Ana, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Designs North Florist & Interiors,https://www.yellowpages.com/greensboro-nc/mip/designs-north-florist-interiors-21723945?lid=1001824639978,(336) 373-1340,http://www.theflowershoppes.com,"504 E Cornwallis Dr, Greensboro, NC 27405",YellowPages,jroflowers@triad.rr.com,"Greensboro, NC",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Vivid Interiors,https://www.yellowpages.com/greensboro-nc/mip/vivid-interiors-503955153,(336) 265-8628,http://vivid-interiors.com,"513 S Elm St, Greensboro, NC 27406",YellowPages,"globe@2x.webp, team@vivid-interiors.com, flags@2x.webp","Greensboro, NC",Interior Decorators,1.0,M:2/T:1,Modern/Abstract
Kanibal Home,https://www.yellowpages.com/jersey-city-nj/mip/kanibal-home-26870516,(551) 200-9386,http://www.kanibalhome.com,"197 Montgomery St, Jersey City, NJ 07302",YellowPages,feedback@cyclevio.com,"Jersey City, NJ",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Paul Daniels Interiors,https://www.yellowpages.com/lincoln-ne/mip/paul-daniels-interiors-56790,(402) 474-5015,http://www.pauldanielsinteriors.com,"4333 S 70th St, Lincoln, NE 68516",YellowPages,info@pauldanielsinteriors.com,"Lincoln, NE",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Design to Reflect,https://www.yellowpages.com/gilbert-az/mip/design-to-reflect-553190554,(602) 882-8750,https://designtoreflect.com,"1530 E Williams Field Rd Ste 201, Gilbert, AZ 85295",YellowPages,niki@designtoreflect.com,"Gilbert, AZ",Interior Decorators,2.0,M:4/T:2,Modern/Abstract
Udvari-Solner Design Co,https://www.yellowpages.com/madison-wi/mip/udvari-solner-design-co-5045431,(608) 233-1480,http://www.udvari-solner.com,"2631 University Ave, Madison, WI 53705",YellowPages,"design@udvari-solner.com, user@domain.com","Madison, WI",Interior Decorators,2.0,M:2/T:0,Modern/Abstract
Vault Interiors and Design,https://www.yellowpages.com/madison-wi/mip/vault-interiors-and-design-481032653,(608) 535-9556,http://www.vault-interiors.com,"2000 Atwood Ave, Madison, WI 53704",YellowPages,info@vault-interiors.com,"Madison, WI",Interior Decorators,1.0,M:2/T:1,Modern/Abstract
Interiors By Design,https://www.yellowpages.com/reno-nv/mip/interiors-by-design-461080815,(775) 240-3711,https://www.fivewestinteriors.com,"3930 S Westpoint Dr, Reno, NV 89509",YellowPages,info@fivewestinteriors.com,"Reno, NV",Interior Designers,4.0,M:7/T:3,Modern/Abstract
Aspen Leaf Interiors,https://www.yellowpages.com/reno-nv/mip/aspen-leaf-interiors-534623182,(775) 470-5494,https://www.aspenleafinteriors.com,"739 Plumas St, Reno, NV 89509",YellowPages,"miguel@opticompany.com.br, lisa@aspenleafinteriors.com, info@stagheaddesigns.com, marcio@alifirm.com, joaopedro@opticompany.com.br","Reno, NV",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Kahl Commercial Interiors,https://www.yellowpages.com/reno-nv/mip/kahl-commercial-interiors-573587783,(775) 284-3600,https://kahlnv.com,"470 E Plumb Ln, Reno, NV 89502",YellowPages,info@kahlnv.com,"Reno, NV",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Kendal Cavalieri Design,https://www.yellowpages.com/buffalo-ny/mip/kendal-cavalieri-design-573248196,(716) 205-1283,https://kendalcavalieridesign.com/service/bathroom-designer-buffalo-ny,"465 Washington St, Buffalo, NY 14203",YellowPages,kc@kendalcavalieridesign.com,"Buffalo, NY",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Bird of Paradise Design,https://www.yellowpages.com/buffalo-ny/mip/bird-of-paradise-design-577192991,(716) 370-1402,https://www.birdofparadisedesign.com,"110 Elmwood Ave, Buffalo, NY 14201",YellowPages,"grace@birdofparadisedesign.com, grace@birdofoaradisedesign.com, 8c4075d5481d476e945486754f783364@sentry.io","Buffalo, NY",Interior Designers,4.0,M:7/T:3,Modern/Abstract
Rob Bowen Design Group,https://www.yellowpages.com/saint-petersburg-fl/mip/rob-bowen-design-group-500655787,(727) 822-8200,https://www.robbowendesign.com,"180 Mirror Lake Dr N,, Saint Petersburg, FL 33701",YellowPages,info@robbowendesign.com,"St. Petersburg, FL",Interior Designers,2.0,M:2/T:0,Modern/Abstract
Cala House Group,https://www.yellowpages.com/port-saint-lucie-fl/mip/cala-house-group-577555362,(772) 206-0831,https://www.calahousegroup.com,"1932 SW Lennox St, Port Saint Lucie, FL 34953",YellowPages,office@calahousegroup.com,"Port St. Lucie, FL",Interior Decorators,3.0,M:3/T:0,Modern/Abstract
Optimal Design Systems International,https://www.yellowpages.com/port-saint-lucie-fl/mip/optimal-design-systems-international-566609781,(954) 888-5960,https://optimaldsi.com,"4022 Torrey Pines Cir, Port Saint Lucie, FL 34986",YellowPages,info@optimaldsi.com,"Port St. Lucie, FL",Interior Decorators,1.0,M:1/T:0,Modern/Abstract
Idlewild House Inc,https://www.yellowpages.com/winston-salem-nc/mip/idlewild-house-inc-526380616,(336) 724-4477,https://www.idlewildinteriors.com/about,"823 Reynolda Rd, Winston Salem, NC 27104",YellowPages,darren@idlewildinteriors.com,"Winston-Salem, NC",Interior Decorators,2.0,M:3/T:1,Modern/Abstract
Modern Environments,https://www.yellowpages.com/chesapeake-va/mip/modern-environments-569454858,(757) 801-9000,https://modenv.com,"1545 Crossways Blvd, Suite 250, Chesapeake, VA 23320",YellowPages,info@modenv.com,"Chesapeake, VA",Interior Designers,8.0,M:8/T:0,Modern/Abstract
Dazoro Designs,https://www.yellowpages.com/garland-tx/mip/dazoro-designs-550830030,(817) 715-6100,https://dazorodesigns.com,"4550 W Buckingham Rd, Garland, TX 75042",YellowPages,"john@example.com, dazorodesigns@yahoo.com","Garland, TX",Interior Designers,3.0,M:3/T:0,Modern/Abstract
